,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,SalePrice
0,856.0,854.0,3.0,706.0,1.0,0.0,2.0,548.0,2.0,1710.0,9.042040056544483,2.0794415416798357,8.0,856.0,2003.0,2003.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,12.24769911637256
1,1262.0,0.0,3.0,978.0,0.0,1.0,2.0,460.0,2.0,1262.0,9.169622538697624,1.9459101490553132,6.0,1262.0,1976.0,1976.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,12.109016442313738
2,920.0,866.0,3.0,486.0,1.0,1.0,2.0,608.0,2.0,1786.0,9.328212292571072,2.0794415416798357,6.0,920.0,2001.0,2002.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,12.317171167298682
3,961.0,756.0,3.0,216.0,1.0,1.0,1.0,642.0,3.0,1717.0,9.164401140034737,2.0794415416798357,7.0,756.0,1915.0,1970.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,11.849404844423074
4,1145.0,1053.0,4.0,655.0,1.0,1.0,2.0,836.0,3.0,2198.0,9.565283817736766,2.1972245773362196,9.0,1145.0,2000.0,2000.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,12.429220196836383
5,796.0,566.0,1.0,732.0,1.0,0.0,1.0,480.0,2.0,1362.0,9.55506418479516,1.791759469228055,5.0,796.0,1993.0,1995.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,11.870606902224587
6,1694.0,0.0,3.0,1369.0,1.0,1.0,2.0,636.0,2.0,1694.0,9.218804450388312,2.1972245773362196,7.0,1686.0,2004.0,2005.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,12.634606283893019
7,1107.0,983.0,3.0,859.0,1.0,2.0,2.0,484.0,2.0,2090.0,9.247925132303454,2.0794415416798357,7.0,1107.0,1973.0,1973.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,12.206077645517674
8,1022.0,752.0,2.0,0.0,0.0,2.0,2.0,468.0,2.0,1774.0,8.71948076085107,2.0794415416798357,8.0,952.0,1931.0,1950.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,11.774527900858468
9,1077.0,0.0,2.0,851.0,1.0,2.0,1.0,205.0,1.0,1077.0,8.912069097970134,1.791759469228055,5.0,991.0,1939.0,1950.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,11.678448377988165
10,1040.0,0.0,3.0,906.0,1.0,0.0,1.0,384.0,1.0,1040.0,9.32375833901174,1.791759469228055,5.0,1040.0,1965.0,1965.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,11.771443882099637
11,1182.0,1142.0,4.0,998.0,1.0,2.0,3.0,736.0,3.0,2324.0,9.386392315756542,2.302585092994046,11.0,1175.0,2005.0,2006.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,12.75130259456002
12,912.0,0.0,2.0,737.0,1.0,0.0,1.0,352.0,1.0,912.0,9.470317173335742,1.791759469228055,4.0,912.0,1962.0,1962.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,11.87757552297847
13,1494.0,0.0,3.0,0.0,0.0,1.0,2.0,840.0,3.0,1494.0,9.273596821611198,2.0794415416798357,7.0,1494.0,2006.0,2007.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,12.540761149388421
14,1253.0,0.0,2.0,733.0,1.0,1.0,1.0,352.0,1.0,1253.0,9.298442820197728,1.9459101490553132,5.0,1253.0,1960.0,1960.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,11.964007453736912
15,854.0,0.0,2.0,0.0,0.0,0.0,1.0,576.0,2.0,854.0,8.71948076085107,2.0794415416798357,5.0,832.0,1929.0,2001.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,11.790564777297387
16,1004.0,0.0,2.0,578.0,1.0,1.0,1.0,480.0,2.0,1004.0,9.32741204356202,1.9459101490553132,5.0,1004.0,1970.0,1970.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,11.91170829631447
17,1296.0,0.0,2.0,0.0,0.0,0.0,2.0,516.0,2.0,1296.0,9.286560397887591,1.6094379124341003,6.0,0.0,1967.0,1967.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,11.407576060361786
18,1114.0,0.0,3.0,646.0,1.0,0.0,1.0,576.0,2.0,1114.0,9.524859098381523,1.791759469228055,6.0,1114.0,2004.0,2004.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,11.976665770490767
19,1339.0,0.0,3.0,504.0,0.0,0.0,1.0,294.0,1.0,1339.0,8.93075873555827,1.791759469228055,6.0,1029.0,1958.0,1965.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,11.842236406331555
20,1158.0,1218.0,4.0,0.0,0.0,1.0,3.0,853.0,3.0,2376.0,9.562123369834488,2.1972245773362196,9.0,1158.0,2005.0,2006.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,12.692506186542177
21,1108.0,0.0,3.0,0.0,0.0,1.0,1.0,280.0,1.0,1108.0,8.915969311373605,2.0794415416798357,6.0,637.0,1930.0,1950.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,11.845109950883979
22,1795.0,0.0,3.0,0.0,0.0,1.0,2.0,534.0,2.0,1795.0,9.184304357425342,2.1972245773362196,7.0,1777.0,2002.0,2002.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,12.345838935721968
23,1060.0,0.0,3.0,840.0,1.0,1.0,1.0,572.0,2.0,1060.0,8.348774539791274,1.791759469228055,6.0,1040.0,1976.0,1976.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,11.774527900858468
24,1060.0,0.0,3.0,188.0,1.0,1.0,1.0,270.0,1.0,1060.0,9.017604776833355,1.791759469228055,6.0,1060.0,1968.0,2001.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,11.944714374881176
25,1600.0,0.0,3.0,0.0,0.0,1.0,2.0,890.0,3.0,1600.0,9.56317796268366,2.1972245773362196,7.0,1566.0,2007.0,2007.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,12.454107814022272
26,900.0,0.0,3.0,234.0,0.0,0.0,1.0,576.0,2.0,900.0,8.881975184248867,1.791759469228055,5.0,900.0,1951.0,2000.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,11.811554895830454
27,1704.0,0.0,3.0,1218.0,1.0,1.0,2.0,772.0,3.0,1704.0,9.348274558065496,2.1972245773362196,7.0,1704.0,2007.0,2008.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,12.631343648903034
28,1600.0,0.0,2.0,1277.0,1.0,2.0,1.0,319.0,1.0,1600.0,9.700269170029188,1.791759469228055,6.0,1484.0,1957.0,1997.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,12.242891437918386
29,520.0,0.0,1.0,0.0,0.0,0.0,1.0,240.0,1.0,520.0,8.752265313595721,1.6094379124341003,4.0,520.0,1927.0,1950.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,11.134603622683905
30,649.0,668.0,3.0,0.0,0.0,0.0,1.0,250.0,1.0,1317.0,9.04793908261736,1.6094379124341003,6.0,649.0,1920.0,1950.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,10.596659732783579
31,1228.0,0.0,3.0,0.0,0.0,0.0,1.0,271.0,1.0,1228.0,9.053101595549691,1.791759469228055,6.0,1228.0,1966.0,2006.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,11.914054519303125
32,1234.0,0.0,3.0,0.0,0.0,0.0,2.0,484.0,2.0,1234.0,9.310185706945898,2.1972245773362196,7.0,1234.0,2007.0,2007.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,12.100161978566867
33,1700.0,0.0,4.0,1018.0,0.0,1.0,1.0,447.0,2.0,1700.0,9.26416545867109,1.791759469228055,6.0,1398.0,1959.0,1959.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,12.016732516077072
34,1561.0,0.0,2.0,1153.0,1.0,1.0,2.0,556.0,2.0,1561.0,8.897545598709327,2.302585092994046,6.0,1561.0,2005.0,2005.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,12.533579815765737
35,1132.0,1320.0,4.0,0.0,0.0,1.0,3.0,691.0,3.0,2452.0,9.504426892100957,2.1972245773362196,9.0,1117.0,2004.0,2005.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,12.6410997921206
36,1097.0,0.0,3.0,0.0,0.0,0.0,1.0,672.0,2.0,1097.0,9.292841593487926,1.791759469228055,6.0,1097.0,1994.0,1995.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,11.884495917930655
37,1297.0,0.0,3.0,1213.0,0.0,1.0,1.0,498.0,2.0,1297.0,9.051696278536586,1.791759469228055,5.0,1297.0,1954.0,1990.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,11.938199736300925
38,1057.0,0.0,3.0,731.0,1.0,0.0,1.0,246.0,1.0,1057.0,8.977525200965243,1.791759469228055,5.0,1057.0,1953.0,2007.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,11.599112335481124
39,1152.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1152.0,8.706324840138741,1.6094379124341003,6.0,0.0,1955.0,1955.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,11.314486721293981
40,1324.0,0.0,3.0,643.0,0.0,1.0,2.0,440.0,2.0,1324.0,9.066354521447801,1.9459101490553132,6.0,1088.0,1965.0,1965.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,11.982935344196433
41,1328.0,0.0,2.0,967.0,0.0,2.0,1.0,308.0,1.0,1328.0,9.735423867488873,1.791759469228055,5.0,1350.0,1959.0,1959.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,12.04355959836804
